## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.color,entity.category,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
MH13,Marco Lightweight Active Hoodie,Men / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/h/mh13-blue_main_2.jpg,74,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MH13,,,blue,Men / Tops,,,,,,,,,
MS01,Aero Daily Fitness Tee,Men / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/s/ms01-blue_main_1.jpg,24,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MS01,,,blue,Men / Tops,,,,,,,,,
MH07,Hero Hoodie,Men / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/h/mh07-gray_main_2.jpg,54,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MH07,,,gray,Men / Tops,,,,,,,,,
MJ09,Taurus Elements Shell,Men / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/j/mj09-yellow_main_2.jpg,65,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MJ09,,,yellow,Men / Tops,,,,,,,,,
MT02,Tristan Endurance Tank,Men / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/t/mt02-white_main_2.jpg,29,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MT02,,,white,Men / Tops,,,,,,,,,
MP12,Cronus Yoga Pant ,Men / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp12-black_main_1.jpg,48,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MP12,,,black,Men / Bottoms,,,,,,,,,
MP11,Aether Gym Pant ,Men / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp11-brown_main_1.jpg,74,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MP11,,,brown,Men / Bottoms,,,,,,,,,
MP10,Orestes Yoga Pant ,Men / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp10-black_main_2.jpg,66,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MP10,,,black,Men / Bottoms,,,,,,,,,
MP09,Livingston All-Purpose Tight,New Luma Yoga Collection,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp09-blue_main_1.jpg,75,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MP09,,,blue,New Luma Yoga Collection,,,,,,,,,
MP08,Zeppelin Yoga Pant,New Luma Yoga Collection,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp08-green_main_1.jpg,82,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MP08,,,green,New Luma Yoga Collection,,,,,,,,,
MP07,Thorpe Track Pant,New Luma Yoga Collection,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp07-blue_main_1.jpg,68,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MP07,,,blue,New Luma Yoga Collection,,,,,,,,,
MP06,Mithra Warmup Pant,Men / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp06-gray_main_1.jpg,28,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MP06,,,gray,Men / Bottoms,,,,,,,,,
MSH06,Lono Yoga Short,New Luma Yoga Collection,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/s/msh06-gray_main_2.jpg,32,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MSH06,,,gray,New Luma Yoga Collection,,,,,,,,,
MP05,Kratos Gym Pant,New Luma Yoga Collection,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp05-blue_main_1.jpg,57,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MP05,,,blue,New Luma Yoga Collection,,,,,,,,,
MP04,Supernova Sport Pant,Men / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp04-gray_main_1.jpg,45,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MP04,,,gray,Men / Bottoms,,,,,,,,,
MP03,Geo Insulated Jogging Pant,New Luma Yoga Collection,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp03-black_main_1.jpg,51,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MP03,,,black,New Luma Yoga Collection,,,,,,,,,
MP01,Caesar Warm-Up Pant,Men / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp01-gray_main_1.jpg,35,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MP01,,,gray,Men / Bottoms,,,,,,,,,
MP02,Viktor LumaTech™ Pant,Men / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp02-gray_main_2.jpg,46,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MP02,,,gray,Men / Bottoms,,,,,,,,,
WJ12,Olivia 1/4 Zip Light Jacket,Women / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj12-blue_main_1.jpg,77,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WJ12,,,blue,Women / Tops,,,,,,,,,
WJ06,Juno Jacket,Women / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj06-purple_main_1.jpg,77,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WJ06,,,purple,Women / Tops,,,,,,,,,
WT05,Leah Yoga Top,Women / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/t/wt05-purple_main_2.jpg,39,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WT05,,,purple,Women / Tops,,,,,,,,,
WS12,Radiant Tee,Women / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/ws12-orange_main_2.jpg,22,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WS12,,,orange,Women / Tops,,,,,,,,,
WJ11,Neve Studio Dance Jacket,New Luma Yoga Collection,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj11-blue_main_1.jpg,69,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WJ11,,,blue,New Luma Yoga Collection,,,,,,,,,
WJ10,Nadia Elements Shell,New Luma Yoga Collection,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj10-yellow_main_2.jpg,69,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WJ10,,,yellow,New Luma Yoga Collection,,,,,,,,,
WJ09,Jade Yoga Jacket,Women / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj09-green_main_1.jpg,32,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WJ09,,,green,Women / Tops,,,,,,,,,
WJ08,Adrienne Trek Jacket,Women / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj08-gray_main_1.jpg,57,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WJ08,,,gray,Women / Tops,,,,,,,,,
WS08,Minerva LumaTech™ V-Tee,Women / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/ws08-blue_main_1.jpg,32,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WS08,,,blue,Women / Tops,,,,,,,,,
WJ07,Inez Full Zip Jacket,Women / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj07-purple_main_1.jpg,59,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WJ07,,,purple,Women / Tops,,,,,,,,,
WJ05,Riona Full Zip Jacket,Women / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj05-brown_main_1.jpg,60,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WJ05,,,brown,Women / Tops,,,,,,,,,
WB04,Prima Compete Bra Top,Women / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/b/wb04-blue_main_2.jpg,24,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WB04,,,blue,Women / Tops,,,,,,,,,
WS06,Elisa EverCool™ Tee,New Luma Yoga Collection,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/ws06-purple_main_2.jpg,29,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WS06,,,purple,New Luma Yoga Collection,,,,,,,,,
WJ04,Ingrid Running Jacket,New Luma Yoga Collection,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj04-white_main_1.jpg,84,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WJ04,,,white,New Luma Yoga Collection,,,,,,,,,
WJ03,Augusta Pullover Jacket,Women / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj03-red_main_2.jpg,57,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WJ03,,,red,Women / Tops,,,,,,,,,
WS03,Iris Workout Top,Women / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/ws03-red_main_1.jpg,29,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WS03,,,red,Women / Tops,,,,,,,,,
WH02,Hera Pullover Hoodie,Women / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/h/wh02-blue_main_2.jpg,48,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WH02,,,blue,Women / Tops,,,,,,,,,
WJ02,Josie Yoga Jacket,Women / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj02-gray_main_1.jpg,56.25,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WJ02,,,gray,Women / Tops,,,,,,,,,
WJ01,Stellar Solar Jacket,New Luma Yoga Collection,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj01-red_main_1.jpg,75,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WJ01,,,red,New Luma Yoga Collection,,,,,,,,,
WP13,Portia Capri,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/p/wp13-orange_main_1.jpg,49,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WP13,,,orange,Women / Bottoms,,,,,,,,,
WP12,Deirdre Relaxed-Fit Capri,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/p/wp12-gray_main_1.jpg,63,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WP12,,,gray,Women / Bottoms,,,,,,,,,
WP11,Sylvia Capri,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/p/wp11-green_main_1.jpg,42,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WP11,,,green,Women / Bottoms,,,,,,,,,
WP10,Daria Bikram Pant,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/p/wp10-gray_main_1.jpg,51,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WP10,,,gray,Women / Bottoms,,,,,,,,,
WP09,Carina Basic Capri,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/p/wp09-black_main_1.jpg,51,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WP09,,,black,Women / Bottoms,,,,,,,,,
WP08,Bardot Capri,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/p/wp08-black_main_1.jpg,48,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WP08,,,black,Women / Bottoms,,,,,,,,,
WP07,Aeon Capri,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/p/wp07-black_main_1.jpg,48,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WP07,,,black,Women / Bottoms,,,,,,,,,
WSH03,Gwen Drawstring Bike Short,New Luma Yoga Collection,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/wsh03-gray_main_2.jpg,50,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WSH03,,,gray,New Luma Yoga Collection,,,,,,,,,
WP06,Diana Tights,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/p/wp06-black_main_1.jpg,59,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WP06,,,black,Women / Bottoms,,,,,,,,,
WP04,Cora Parachute Pant,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/p/wp04-blue_main_1.jpg,75,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WP04,,,blue,Women / Bottoms,,,,,,,,,
WP03,Ida Workout Parachute Pant,New Luma Yoga Collection,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/p/wp03-blue_main_1.jpg,48,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WP03,,,blue,New Luma Yoga Collection,,,,,,,,,
WP02,Emma Leggings,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/p/wp02-blue_main_1.jpg,42,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WP02,,,blue,Women / Bottoms,,,,,,,,,
WP01,Karmen Yoga Pant,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/p/wp01-gray_main_1.jpg,39,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WP01,,,gray,Women / Bottoms,,,,,,,,,
24-WG085_Group,Set of Sprite Yoga Straps,Gear / Equipment,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/l/u/luma-yoga-strap-set.jpg,14,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=24-WG085_Group,,,multicolor,Gear / Equipment,,,,,,,,,
24-WG080,Sprite Yoga Companion Kit,Gear / Equipment,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/l/u/luma-yoga-kit-2.jpg,61,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=24-WG080,,,blue,Gear / Equipment,,,,,,,,,
24-WG02,Didi Sport Watch,Gear / Equipment,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/g/wg02-bk-0.jpg,92,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=24-WG02,,,black,Gear / Equipment,,,,,,,,,
24-WG03,Clamber Watch,Gear / Equipment,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/g/wg03-gr-0.jpg,54,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=24-WG03,,,gray,Gear / Equipment,,,,,,,,,
24-WG01,Bolo Sport Watch,Gear / Equipment,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/g/wg01-bk-0.jpg,49,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=24-WG01,,,black,Gear / Equipment,,,,,,,,,
24-WG09,Luma Analog Watch,Gear / Equipment,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/g/wg09-gr-0.jpg,43,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=24-WG09,,,gray,Gear / Equipment,,,,,,,,,
24-MG02,Dash Digital Watch,Gear / Equipment,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/g/mg02-bk-0.jpg,92,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=24-MG02,,,black,Gear / Equipment,,,,,,,,,
24-MG05,Cruise Dual Analog Watch,Gear / Equipment,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/g/mg05-br-0.jpg,55,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=24-MG05,,,brown,Gear / Equipment,,,,,,,,,
24-MG03,Summit Watch,Gear / Equipment,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/g/mg03-br-0.jpg,54,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=24-MG03,,,brown,Gear / Equipment,,,,,,,,,
24-MG01,Endurance Watch,Gear / Equipment,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/g/mg01-bk-0.jpg,49,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=24-MG01,,,black,Gear / Equipment,,,,,,,,,
WSH05,Bess Yoga Short,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/wsh05-blue_main_1.jpg,28,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WSH05,,,blue,Women / Bottoms,,,,,,,,,
WH05,Selene Yoga Hoodie,Women / Tops,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/h/wh05-white_main_1.jpg,42,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WH05,,,white,Women / Tops,,,,,,,,,
MSH09,Troy Yoga Short,Men / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/s/msh09-blue_main_1.jpg,24,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MSH09,,,blue,Men / Bottoms,,,,,,,,,
MSH05,Hawkeye Yoga Short,Men / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/s/msh05-gray_main_1.jpg,29,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=MSH05,,,gray,Men / Bottoms,,,,,,,,,
243-MB09,Luma Virtual Gift Card,Gift Cards,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/g/i/gift-card-virtual-custom.jpg,0,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=243-MB09,,,multicolor,Gift Cards,,,,,,,,,
WSH12,Erika Running Short,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/wsh12-green_main_1.jpg,45,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WSH12,,,green,Women / Bottoms,,,,,,,,,
WSH11,Ina Compression Short,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/wsh11-blue_main_1.jpg,49,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WSH11,,,blue,Women / Bottoms,,,,,,,,,
WSH10,Ana Running Short,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/wsh10-black_main_1.jpg,40,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WSH10,,,black,Women / Bottoms,,,,,,,,,
WSH09,Mimi All-Purpose Short,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/wsh09-gray_main_1.jpg,44,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WSH09,,,gray,Women / Bottoms,,,,,,,,,
WSH08,Sybil Running Short,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/wsh08-purple_main_1.jpg,44,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WSH08,,,purple,Women / Bottoms,,,,,,,,,
WSH07,Echo Fit Compression Short,New Luma Yoga Collection,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/wsh07-black_main_1.jpg,24,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WSH07,,,black,New Luma Yoga Collection,,,,,,,,,
WSH06,Angel Light Running Short,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/wsh06-gray_main_1.jpg,42,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WSH06,,,gray,Women / Bottoms,,,,,,,,,
WSH04,Artemis Running Short,Women / Bottoms,,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/wsh04-black_main_1.jpg,45,https://dsn.adobe.com/web/rllopis-RO5E/product?productId=WSH04,,,black,Women / Bottoms,,,,,,,,,